code,severity,source,route,context,term,snippet,status
UNSUPPORTED_GUARANTEE,WARNING,out/angebot-pruefen.html,/angebot-pruefen,visible-or-meta,garantiert,"Turnus, Termin, Zusatzpositionen, Zugang, Fotos und fehlende Annahmen. Wird ein vorhandenes Angebot garantiert unterboten? Nein. Es gibt keine Unterbietungsgarantie. Ziel ist eine sachliche zweite Einordnung und, falls passend, eine Alternative. Kann",MANUAL_REVIEW
UNSUPPORTED_GUARANTEE,WARNING,out/angebot-vergleichen-duesseldorf.html,/angebot-vergleichen-duesseldorf,visible-or-meta,garantiert,"auch ohne vorhandenes Angebot eine erste Einschätzung anfragen. Wird FLOXANT das bestehende Angebot garantiert unterbieten? Nein. FLOXANT gibt keine Preisgarantie und verspricht kein Unterbieten. Jede Anfrage wird individuell nach Objekt, Umfang, Tur",MANUAL_REVIEW
UNSUPPORTED_GUARANTEE,WARNING,out/angebot-vergleichen-regensburg.html,/angebot-vergleichen-regensburg,visible-or-meta,garantiert,"rümpelung, Wohnungsauflösung, Endreinigung und Übergabevorbereitung in Regensburg. Wird das Angebot garantiert unterboten? Nein. FLOXANT gibt keine Preisgarantie und keine Unterbietungszusage. Ziel ist eine sachliche zweite Einordnung. Welche Angaben",MANUAL_REVIEW
UNSUPPORTED_GUARANTEE,WARNING,out/blog/auszug-checkliste-regensburg.html,/blog/auszug-checkliste-regensburg,visible-or-meta,Garantiert,"ung, keine Preisgarantie. Angebot prüfen lassen Situation beschreiben FAQ zu Vermieter-Schockschutz Garantiert der Service die volle Kaution? Nein. Die Kaution haengt von Mietvertrag, Zustand, Schaeden und Vermieterentscheidung ab. Der Service reduzi",MANUAL_REVIEW
UNSUPPORTED_GUARANTEE,WARNING,out/blog/entruempelung-endreinigung-uebergabe-regensburg-kombinieren.html,/blog/entruempelung-endreinigung-uebergabe-regensburg-kombinieren,visible-or-meta,garantiert,"iste, weil Zustand, Menge, Zugang und kritische Stellen schneller sichtbar werden. Ist eine Abnahme garantiert? Nein. FLOXANT kann eine Übergabe vorbereiten und sichtbar offene Punkte reduzieren, aber keine Vermieterentscheidung garantieren. Gilt die",MANUAL_REVIEW
UNSUPPORTED_GUARANTEE,WARNING,out/blog/geruchsproblem-dokumentieren-statt-ueberdecken.html,/blog/geruchsproblem-dokumentieren-statt-ueberdecken,visible-or-meta,Garantiert," Rechtsberatung, keine Preisgarantie. Angebot prüfen lassen Situation beschreiben FAQ zu Geruchslos Garantiert FLOXANT, dass jeder Geruch verschwindet? Nein. Geruch hängt von Quelle, Material, Dauer und Zustand ab. FLOXANT kann reinigen und Quellenbe",MANUAL_REVIEW
UNSUPPORTED_GUARANTEE,WARNING,out/blog/gerueche-in-wohnung-vor-uebergabe.html,/blog/gerueche-in-wohnung-vor-uebergabe,visible-or-meta,Garantiert," Rechtsberatung, keine Preisgarantie. Angebot prüfen lassen Situation beschreiben FAQ zu Geruchslos Garantiert FLOXANT, dass jeder Geruch verschwindet? Nein. Geruch hängt von Quelle, Material, Dauer und Zustand ab. FLOXANT kann reinigen und Quellenbe",MANUAL_REVIEW
UNSUPPORTED_GUARANTEE,WARNING,out/blog/haeufige-gruende-fuer-kautionsabzuege.html,/blog/haeufige-gruende-fuer-kautionsabzuege,visible-or-meta,Garantiert,"ung, keine Preisgarantie. Angebot prüfen lassen Situation beschreiben FAQ zu Vermieter-Schockschutz Garantiert der Service die volle Kaution? Nein. Die Kaution haengt von Mietvertrag, Zustand, Schaeden und Vermieterentscheidung ab. Der Service reduzi",MANUAL_REVIEW
UNSUPPORTED_GUARANTEE,WARNING,out/blog/kueche-bad-textilien-geruch.html,/blog/kueche-bad-textilien-geruch,visible-or-meta,Garantiert," Rechtsberatung, keine Preisgarantie. Angebot prüfen lassen Situation beschreiben FAQ zu Geruchslos Garantiert FLOXANT, dass jeder Geruch verschwindet? Nein. Geruch hängt von Quelle, Material, Dauer und Zustand ab. FLOXANT kann reinigen und Quellenbe",MANUAL_REVIEW
UNSUPPORTED_GUARANTEE,WARNING,out/blog/kurzfristige-reinigung-regensburg-24h-realistisch.html,/blog/kurzfristige-reinigung-regensburg-24h-realistisch,visible-or-meta,garantiert,"sen Situation beschreiben FAQ zu Kurzfristige Reinigung Ist eine Reinigung innerhalb von 24 Stunden garantiert? Nein. FLOXANT prüft kurzfristige Fälle nach Kapazität, Ort, Umfang und Zugang. Eine ehrliche Prüfung ist besser als ein leeres Versprechen",MANUAL_REVIEW
UNSUPPORTED_GUARANTEE,WARNING,out/blog/reinigungsfirma-regensburg-preise-kosten-angebot-pruefen.html,/blog/reinigungsfirma-regensburg-preise-kosten-angebot-pruefen,visible-or-meta,Garantie,"n? FLOXANT kann prüfen, ob eine passendere oder vielleicht günstigere Alternative möglich ist. Eine Garantie gibt es nicht. Welche Daten helfen am meisten? Stadtteil, Fläche, Objektart, Fotos, Termin, gewünschter Umfang, vorhandenes Angebot und Pre",MANUAL_REVIEW
UNSUPPORTED_GUARANTEE,WARNING,out/blog/umzug-regensburg-laengere-strecke.html,/blog/umzug-regensburg-laengere-strecke,visible-or-meta,garantierten,"tung, keine Preisgarantie. Angebot prüfen lassen Situation beschreiben Häufige Fragen Gibt es einen garantierten Einsatzradius? Nein. FLOXANT prüft jede längere Strecke einzeln nach Route, Umfang, Zugängen, Zeitraum und verfügbarer Kapazität. Hilft ein",MANUAL_REVIEW
UNSUPPORTED_GUARANTEE,WARNING,out/blog/umzugsangebot-muenchen-pruefen-festpreis-guenstiger.html,/blog/umzugsangebot-muenchen-pruefen-festpreis-guenstiger,visible-or-meta,garantiert,"one, Termin, Strecke und Zusatzleistungen prüfen. Eine günstigere Alternative ist möglich, aber nie garantiert. Warum Festpreis Daten braucht Ein Festpreis ist nur belastbar, wenn der Aufwand sichtbar ist. Fehlen Fotos, Möbelmenge, Laufweg oder Parkt",MANUAL_REVIEW
UNSUPPORTED_GUARANTEE,WARNING,out/blog/umzugsangebot-muenchen-pruefen-festpreis-guenstiger.html,/blog/umzugsangebot-muenchen-pruefen-festpreis-guenstiger,visible-or-meta,garantiert,"en: Volumen, Fotos, Etage, Laufweg, Strecke, Termin und Zusatzleistungen. Ist ein günstigerer Preis garantiert? Nein. FLOXANT prüft, ob eine klarere, passendere oder vielleicht günstigere Alternative möglich ist. Welche Daten helfen am meisten? Start",MANUAL_REVIEW
UNSUPPORTED_GUARANTEE,WARNING,out/blog/wenn-besuch-oder-uebergabe-morgen-ist.html,/blog/wenn-besuch-oder-uebergabe-morgen-ist,visible-or-meta,garantiert,"sen Situation beschreiben FAQ zu Kurzfristige Reinigung Ist eine Reinigung innerhalb von 24 Stunden garantiert? Nein. FLOXANT prüft kurzfristige Fälle nach Kapazität, Ort, Umfang und Zugang. Eine ehrliche Prüfung ist besser als ein leeres Versprechen",MANUAL_REVIEW
UNSUPPORTED_GUARANTEE,WARNING,out/blog/wohnung-uebergabebereit-machen.html,/blog/wohnung-uebergabebereit-machen,visible-or-meta,Garantie,"n? Fotodokumentation relevanter Stellen kann nach Vereinbarung Teil des Auftrags sein. Gibt es eine Garantie auf Abnahme? Nein. Die Abnahme hängt von Vermieter, Vertrag und Zustand ab. FLOXANT kann aber helfen, die Wohnung besser vorzubereiten. Wan",MANUAL_REVIEW
UNSUPPORTED_GUARANTEE,WARNING,out/blog/wohnungsuebergabe-komplettpaket.html,/blog/wohnungsuebergabe-komplettpaket,visible-or-meta,garantierter,"ation beschreiben FAQ zum Wohnungsübergabe-Komplettpaket Ist das Wohnungsübergabe-Komplettpaket ein garantierter Festumfang? Nein. Der konkrete Umfang hängt von Wohnung, Zustand, Zugang, Termin und Vereinbarung ab. FLOXANT prüft vorher, welche Leistung",MANUAL_REVIEW
UNSUPPORTED_GUARANTEE,WARNING,out/blog/wohnungsuebergabe-ohne-streit.html,/blog/wohnungsuebergabe-ohne-streit,visible-or-meta,Garantiert,"ung, keine Preisgarantie. Angebot prüfen lassen Situation beschreiben FAQ zu Vermieter-Schockschutz Garantiert der Service die volle Kaution? Nein. Die Kaution haengt von Mietvertrag, Zustand, Schaeden und Vermieterentscheidung ab. Der Service reduzi",MANUAL_REVIEW
UNSUPPORTED_GUARANTEE,WARNING,out/duesseldorf/luxusreinigung.html,/duesseldorf/luxusreinigung,visible-or-meta,garantierte,"tudios, Apartments, hochwertige Wohnflächen und repräsentative Bereiche in Düsseldorf. Gibt es eine garantierte Perfektion? Nein. FLOXANT gibt keine pauschale Perfektionsgarantie. Zustand, Material, Umfang und gewünschtes Ergebnis werden vorab geprüft",MANUAL_REVIEW
