"URL","locale","cluster","primaryIntent","targetAudience","relatedService","currentQuality","uniqueness","evidence","action","priority"
"https://www.floxant.de/ratgeber","de","OUTSIDE_TARGET_CLUSTER","Leistung und Ablauf verstehen","Privatkunden und Entscheidende","/leistungen","MEDIUM","HIGH","Rendered HTML: 323 words; FAQ 0; Article schema no; main CTA yes; repeated long blocks 0%; visible external sources 0; visible editorial owner no; self-canonical yes","STRENGTHEN","P2"
"https://www.floxant.de/ratgeber/umzug-kosten-regensburg","de","C_ANGEBOT_UND_LEISTUNGSUMFANG","Angebot oder Kosten einordnen","Privatkunden und Entscheidende","/angebot-guenstiger-pruefen","LOW","HIGH","Rendered HTML: 191 words; FAQ 0; Article schema yes; main CTA no; repeated long blocks 0%; visible external sources 0; visible editorial owner no; self-canonical yes","STRENGTHEN","P2"
"https://www.floxant.de/ratgeber/checkliste-umzug","de","B_REGENSBURG_UMZUG_RAEUMUNG_UEBERGABE","Vorbereitung und Checkliste","Privatkunden und Entscheidende","/regensburg/umzug","LOW","HIGH","Rendered HTML: 146 words; FAQ 0; Article schema yes; main CTA no; repeated long blocks 0%; visible external sources 0; visible editorial owner no; self-canonical yes","STRENGTHEN","P2"
"https://www.floxant.de/ratgeber/gute-umzugsfirma-finden","de","B_REGENSBURG_UMZUG_RAEUMUNG_UEBERGABE","Anbieter oder Kontaktweg auswaehlen","Unternehmen und Verwaltungen","/regensburg/umzug","LOW","HIGH","Rendered HTML: 133 words; FAQ 0; Article schema yes; main CTA no; repeated long blocks 0%; visible external sources 0; visible editorial owner no; self-canonical yes","STRENGTHEN","P2"
"https://www.floxant.de/ratgeber/entruempelung-kosten-pro-m3","de","C_ANGEBOT_UND_LEISTUNGSUMFANG","Angebot oder Kosten einordnen","Privatkunden und Entscheidende","/angebot-guenstiger-pruefen","LOW","HIGH","Rendered HTML: 158 words; FAQ 0; Article schema yes; main CTA no; repeated long blocks 0%; visible external sources 0; visible editorial owner no; self-canonical yes","STRENGTHEN","P2"
"https://www.floxant.de/ratgeber/umzug-vorbereiten-7-schritte","de","B_REGENSBURG_UMZUG_RAEUMUNG_UEBERGABE","Vorbereitung und Checkliste","Privatkunden und Entscheidende","/regensburg/umzug","LOW","HIGH","Rendered HTML: 136 words; FAQ 0; Article schema yes; main CTA no; repeated long blocks 0%; visible external sources 0; visible editorial owner no; self-canonical yes","STRENGTHEN","P2"
"https://www.floxant.de/ratgeber/wann-lohnt-sich-umzugsfirma","de","B_REGENSBURG_UMZUG_RAEUMUNG_UEBERGABE","Leistung und Ablauf verstehen","Unternehmen und Verwaltungen","/regensburg/umzug","LOW","HIGH","Rendered HTML: 145 words; FAQ 0; Article schema yes; main CTA no; repeated long blocks 0%; visible external sources 0; visible editorial owner no; self-canonical yes","STRENGTHEN","P2"
"https://www.floxant.de/ratgeber/moebeltransport-sicher","de","OUTSIDE_TARGET_CLUSTER","Leistung und Ablauf verstehen","Privatkunden und Entscheidende","/regensburg/umzug","LOW","HIGH","Rendered HTML: 130 words; FAQ 0; Article schema yes; main CTA no; repeated long blocks 0%; visible external sources 0; visible editorial owner no; self-canonical yes","STRENGTHEN","P2"
"https://www.floxant.de/ratgeber/umzug-tipps-familien","de","B_REGENSBURG_UMZUG_RAEUMUNG_UEBERGABE","Vorbereitung und Checkliste","Privatkunden und Entscheidende","/regensburg/umzug","LOW","HIGH","Rendered HTML: 154 words; FAQ 0; Article schema yes; main CTA no; repeated long blocks 0%; visible external sources 0; visible editorial owner no; self-canonical yes","STRENGTHEN","P2"
"https://www.floxant.de/ratgeber/umzug-kosten-rechner","de","C_ANGEBOT_UND_LEISTUNGSUMFANG","Angebot oder Kosten einordnen","Privatkunden und Entscheidende","/angebot-guenstiger-pruefen","LOW","HIGH","Rendered HTML: 155 words; FAQ 0; Article schema yes; main CTA no; repeated long blocks 0%; visible external sources 0; visible editorial owner no; self-canonical yes","STRENGTHEN","P2"
"https://www.floxant.de/ratgeber/umzug-anmelden-ummelden","de","B_REGENSBURG_UMZUG_RAEUMUNG_UEBERGABE","Leistung und Ablauf verstehen","Privatkunden und Entscheidende","/regensburg/umzug","LOW","HIGH","Rendered HTML: 118 words; FAQ 0; Article schema yes; main CTA no; repeated long blocks 0%; visible external sources 0; visible editorial owner no; self-canonical yes","STRENGTHEN","P2"
"https://www.floxant.de/ratgeber/umzug-versicherung","de","B_REGENSBURG_UMZUG_RAEUMUNG_UEBERGABE","Leistung und Ablauf verstehen","Privatkunden und Entscheidende","/regensburg/umzug","LOW","HIGH","Rendered HTML: 131 words; FAQ 0; Article schema yes; main CTA no; repeated long blocks 0%; visible external sources 0; visible editorial owner no; self-canonical yes","STRENGTHEN","P2"
"https://www.floxant.de/ratgeber/wohnungsaufloesung-tipps","de","B_REGENSBURG_UMZUG_RAEUMUNG_UEBERGABE","Vorbereitung und Checkliste","Privatkunden und Entscheidende","/regensburg/entruempelung","LOW","HIGH","Rendered HTML: 137 words; FAQ 0; Article schema yes; main CTA no; repeated long blocks 0%; visible external sources 0; visible editorial owner no; self-canonical yes","STRENGTHEN","P2"
"https://www.floxant.de/ratgeber/umzug-im-winter","de","B_REGENSBURG_UMZUG_RAEUMUNG_UEBERGABE","Leistung und Ablauf verstehen","Privatkunden und Entscheidende","/regensburg/umzug","LOW","HIGH","Rendered HTML: 144 words; FAQ 0; Article schema yes; main CTA no; repeated long blocks 0%; visible external sources 0; visible editorial owner no; self-canonical yes","STRENGTHEN","P2"
"https://www.floxant.de/ratgeber/umzug-erste-wohnung","de","B_REGENSBURG_UMZUG_RAEUMUNG_UEBERGABE","Leistung und Ablauf verstehen","Privatkunden und Entscheidende","/regensburg/umzug","LOW","HIGH","Rendered HTML: 164 words; FAQ 0; Article schema yes; main CTA no; repeated long blocks 0%; visible external sources 0; visible editorial owner no; self-canonical yes","STRENGTHEN","P2"
"https://www.floxant.de/blog","de","OUTSIDE_TARGET_CLUSTER","Leistung und Ablauf verstehen","Privatkunden und Entscheidende","/leistungen","GOOD","HIGH","Rendered HTML: 9169 words; FAQ 8; Article schema no; main CTA yes; repeated long blocks 0%; visible external sources 0; visible editorial owner no; self-canonical yes","STRENGTHEN","P2"
